Level,Date and Time,Source,Event ID,Original Message
Information,07-10-2024 12:23,TPM,17,The Trusted Platform Module (TPM) hardware failed to execute a TPM command 
Information,07-10-2024 12:23,Service Control Manager,7040,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start 
Warning,07-10-2024 12:23,Netwtw14,6062,"The description for Event ID 6062 from source Netwtw14 cannot be found  Either the component that raises this event is not installed on your local computer or the installation is corrupted  You can install or repair the component on the local computer 

If the event originated on another computer, the display information had to be saved with the event 

The following information was included with the event  

 Device NDMP1
Intel(R) Wi-Fi 6E AX211 160MHz

The message resource is present but the message was not found in the message table
"
Information,07-10-2024 12:23,Microsoft-Windows-HttpService,113,"Attempted to add URL (http   127 0 0 1 24830 127 0 0 1 ) to URL group (0xFC0000032000000B)  Status  0x0  Process Id 0xA20C Executable path  Device HarddiskVolume3 Windows System32 DriverStore FileRepository asussci2 inf_amd64_a61e5ab0aed04d3c ASUSSoftwareManager AsusSupportService exe, User KRAZYPC Karthik Sundaram"
Information,07-10-2024 12:23,Microsoft-Windows-HttpService,111,"Create URL group 0xFC0000032000000B  Status 0x0  Process Id 0xA20C Executable path  Device HarddiskVolume3 Windows System32 DriverStore FileRepository asussci2 inf_amd64_a61e5ab0aed04d3c ASUSSoftwareManager AsusSupportService exe, User KRAZYPC Karthik Sundaram"
Warning,07-10-2024 12:23,Microsoft-Windows-DistributedCOM,10016,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable)  This security permission can be modified using the Component Services administrative tool "
Information,07-10-2024 12:23,Microsoft-Windows-Winlogon,7001,User Logon Notification for Customer Experience Improvement Program
Information,07-10-2024 12:19,Service Control Manager,7040,The start type of the McAfee Scheduled Task - (McAfee-Dynamicappdownloader) service was changed from demand start to disabled 
Information,07-10-2024 12:19,Service Control Manager,7045,"A service was installed in the system 

Service Name   McAfee Scheduled Task - (McAfee-Dynamicappdownloader)
Service File Name    C  Program Files McAfee wps 1 22 203 1 dad mc-dad exe 
Service Type   user mode service
Service Start Type   demand start
Service Account   LocalSystem"
Information,07-10-2024 12:18,nhi,9007,"The driver entered RTD3 
 All the connected devices will be removed from driver s internal state, so it is expected that DeviceDisconnected events will happen "
Information,07-10-2024 12:18,Microsoft-Windows-Power-Troubleshooter,1,"The system has returned from a low power state 

Sleep Time   2024 - 10 - 07T06 16 42 345322700Z
Wake Time   2024 - 10 - 07T06 48 53 152654600Z

Wake Source  Unknown"
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-Power,566,"The system session has transitioned from 62 to 64 

Reason Unknown 

BootId  98"
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-Power,507,"The system is exiting Modern Standby 

Reason  Power Button "
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-Power,506,"The system is entering Modern Standby 

Reason  Sleep, Hibernate, or Shutdown "
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-Boot,32,The bootmgr spent 0 ms waiting for user input 
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-Boot,18,There are 0x1 boot options on this system 
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-Boot,30,The firmware reported boot metrics 
Error,07-10-2024 12:18,Microsoft-Windows-NDIS,10317,"Miniport Microsoft Wi-Fi Direct Virtual Adapter #2, {14fda119-c976-471e-a905-cf4cce91a52d}, had event Fatal error  The miniport has failed a power transition to operational power"
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-General,1,"The system time has changed to  2024 - 10 - 07T06 48 50 500000000Z from  2024 - 10 - 07T06 16 46 975474500Z 
Time Delta  1923524 ms

Change Reason  System time synchronized with the hardware clock 
Process     (PID 4) 

RTC time   2024 - 10 - 07T12 18 50 500000000Z
Current time zone bias  -330
RTC time is in UTC  false
System time was based on RTC time  false"
Information,07-10-2024 11:46,Microsoft-Windows-Kernel-Power,107,The system has resumed from sleep 
Information,07-10-2024 12:18,EventLog,6013,The system uptime is 302274 seconds 
Information,07-10-2024 11:46,Microsoft-Windows-Kernel-Power,42,"The system is entering sleep 

Sleep Reason  Application API"
