Level,Date and Time,Source,Event ID,Original Message,Threshold
Error,07-10-2024 12:18,Microsoft-Windows-NDIS,10317,"Miniport Microsoft Wi-Fi Direct Virtual Adapter #2, {14fda119-c976-471e-a905-cf4cce91a52d}, had event Fatal error  The miniport has failed a power transition to operational power",0.8
Error,06-10-2024 17:35,Service Control Manager,7000,"The Steam Client Service service failed to start due to the following error  
The service did not respond to the start or control request in a timely fashion ",0.8
Error,06-10-2024 17:35,Service Control Manager,7009,A timeout was reached (30000 milliseconds) while waiting for the Steam Client Service service to connect ,0.8
Error,06-10-2024 16:41,Microsoft-Windows-WindowsUpdateClient,20,Installation Failure  Windows failed to install the following update with error 0x80073D02  9NKSQGP7F2NH-5319275A WhatsAppDesktop ,0.8
Error,06-10-2024 00:05,Microsoft-Windows-DistributedCOM,10010,The server DolbyLaboratories DolbyAccess_3 24 2820 0_x64__rz1tebttyb220!App AppX1vq60yhpapky3fc2vj8qa51f0d03x54j mca did not register with DCOM within the required timeout ,0.8
Error,05-10-2024 17:39,Service Control Manager,7031,The GameInput Service service terminated unexpectedly   It has done this 1 time(s)   The following corrective action will be taken in 1000 milliseconds  Restart the service ,0.8
Error,05-10-2024 14:50,Microsoft-Windows-WindowsUpdateClient,20,Installation Failure  Windows failed to install the following update with error 0x80073D02  9PLH2SV1DVK5-B9ECED6F Glidex ,0.8
Error,04-10-2024 23:35,Service Control Manager,7009,A timeout was reached (30000 milliseconds) while waiting for the Sync Host_36c9d14 service to connect ,0.8
Error,04-10-2024 23:35,Microsoft-Windows-DistributedCOM,10010,The server {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54} did not register with DCOM within the required timeout ,0.8
Error,03-10-2024 20:31,Volsnap,36,The shadow copies of volume C  were aborted because the shadow copy storage could not grow due to a user imposed limit ,0.8
Error,02-10-2024 11:15,Service Control Manager,7023,"The McAfee Scheduled Task - (McAfee-Dynamicappdownloader) service terminated with the following error  
Incorrect function ",0.8
Error,01-10-2024 21:12,Service Control Manager,7024,"The GoogleUpdater InternalService 130 0 6679 0 (GoogleUpdaterInternalService130 0 6679 0) service terminated with the following service-specific error  
%%75045",0.8
Error,01-10-2024 21:12,Service Control Manager,7024,"The GoogleUpdater Service 130 0 6679 0 (GoogleUpdaterService130 0 6679 0) service terminated with the following service-specific error  
%%75045",0.8
Critical,01-10-2024 14:52,Microsoft-Windows-Kernel-Power,41,"The system has rebooted without cleanly shutting down first  This error could be caused if the system stopped responding, crashed, or lost power unexpectedly ",0.6
Error,01-10-2024 14:54,EventLog,6008,The previous system shutdown at 2 23 21 PM on  10  1  2024 was unexpected ,0.8
Error,01-10-2024 14:51,nvlddmkm,14,"The description for Event ID 14 from source nvlddmkm cannot be found  Either the component that raises this event is not installed on your local computer or the installation is corrupted  You can install or repair the component on the local computer 

If the event originated on another computer, the display information had to be saved with the event 

The following information was included with the event  

 Device Video8
CMDre 00000000 00000208 ff1fe141 00000007 00000000

The message resource is present but the message was not found in the message table
",0.8
Error,01-10-2024 14:43,nvlddmkm,153,"The description for Event ID 153 from source nvlddmkm cannot be found  Either the component that raises this event is not installed on your local computer or the installation is corrupted  You can install or repair the component on the local computer 

If the event originated on another computer, the display information had to be saved with the event 

The following information was included with the event  

 Device Video8
Restarting TDR occurred on GPUID 100

The message resource is present but the message was not found in the message table
",0.8
Error,01-10-2024 14:43,nvlddmkm,153,"The description for Event ID 153 from source nvlddmkm cannot be found  Either the component that raises this event is not installed on your local computer or the installation is corrupted  You can install or repair the component on the local computer 

If the event originated on another computer, the display information had to be saved with the event 

The following information was included with the event  

 Device Video8
Reset TDR occurred on GPUID 100

The message resource is present but the message was not found in the message table
",0.8
Error,01-10-2024 14:43,nvlddmkm,153,"The description for Event ID 153 from source nvlddmkm cannot be found  Either the component that raises this event is not installed on your local computer or the installation is corrupted  You can install or repair the component on the local computer 

If the event originated on another computer, the display information had to be saved with the event 

The following information was included with the event  

 Device Video8
Resetting TDR occurred on GPUID 100

The message resource is present but the message was not found in the message table
",0.8
Error,01-10-2024 13:56,Microsoft-Windows-WindowsUpdateClient,20,Installation Failure  Windows failed to install the following update with error 0x80073D02  9N7R5S6B0ZZH-B9ECED6F ASUSPCAssistant ,0.8
